channel_id,channel_name,channel_subscriber_count,channel_thumbnail_url,video_id,video_url,title,title_length,description,published_at,video_age_days,duration,duration_seconds,view_count,like_count,comment_count,thumbnail_url
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,O34B-eSl09U,https://www.youtube.com/watch?v=O34B-eSl09U,FOURTH STRIKE: Q&A,18,Fourth Strike out now!,2025-10-17T00:48:17Z,292,PT8M55S,535,305695,,1176,https://i.ytimg.com/vi/O34B-eSl09U/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,JhaIuRajMmI,https://www.youtube.com/watch?v=JhaIuRajMmI,Terror Jr & King Kylie - Fourth Strike (Lyric Video),52,"Stream ""Fourth Strike"" wherever you listen to music!",2025-10-14T04:00:01Z,295,PT2M51S,171,3632038,,4421,https://i.ytimg.com/vi/JhaIuRajMmI/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,hDLA5DP8zXE,https://www.youtube.com/watch?v=hDLA5DP8zXE,GLOSSES PART 2: KING KYLIE RETURNS,34,"KING KYLIE COLLECTION COMING 10.18, 12PM PST
KYLIECOSMETICS.COM AND NOV 2 AT ULTA BEAUTY

it only felt right to launch my king kylie collection with a part 2 to my video with Colin Tilley and Terror Jr from 10 YEARS AGO! 

thank you Mara Teigen and Karin Jinsui for joining me again xx and my mommy of course!

Credits:

Director : Colin Tilley
Editor: Vinnie Hobbs
Producer: Lisa Arianna
EP: Andrew Lerios, Luga Podesta, Sandy Haddad
Director Of Photography: Elias Talbot
Production Designer: Bradley Dickinson
Production Supervisor: Ivan Ovalle",2025-10-13T15:56:04Z,296,PT2M41S,161,1000167,,1854,https://i.ytimg.com/vi/hDLA5DP8zXE/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,sAQxc2W6ifY,https://www.youtube.com/watch?v=sAQxc2W6ifY,Behind the Scenes at Bratz,26,"My Bratz dolls are available now at Bratz.com, Amazon, Walmart and Target.",2023-10-08T19:44:03Z,1031,PT1M36S,96,1266133,,7870,https://i.ytimg.com/vi/sAQxc2W6ifY/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,0KwHgwx6e7E,https://www.youtube.com/watch?v=0KwHgwx6e7E,my tinted butter balms,22,,2023-06-14T16:18:23Z,1148,PT8S,8,1183297,,1586,https://i.ytimg.com/vi/0KwHgwx6e7E/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,QDW3cVo5nj0,https://www.youtube.com/watch?v=QDW3cVo5nj0,Get Ready with Me: Met Gala 2023,32,Thank you to the entire Jean Paul Gaultier team and to Haider Ackermann for creating the dress of my dreams for this year's Met Gala.,2023-05-05T17:32:09Z,1188,PT7M48S,468,4670533,,2367,https://i.ytimg.com/vi/QDW3cVo5nj0/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,v1roxVGL9X8,https://www.youtube.com/watch?v=v1roxVGL9X8,Introducing My Kylash Volume Mascara,36,"My first mascara, Kylash Volume Mascara, launches TOMORROW April 6 at 9am pst on http://KylieCosmetics.com 🖤 i can’t wait for you to fall in love.",2023-04-05T19:01:41Z,1217,PT3M9S,189,711129,,1894,https://i.ytimg.com/vi/v1roxVGL9X8/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,KasWOX17bic,https://www.youtube.com/watch?v=KasWOX17bic,MY 2022 YEAR IN REVIEW,22,I can't believe 2022 is almost over! Join me as I look back and reflect on some of my favorite moments from this year. Thank you for all the support - I'm so grateful for you all. Here's to 2023 - see you all in the New Year!,2022-12-12T18:41:00Z,1331,PT3M50S,230,1917516,,2483,https://i.ytimg.com/vi/KasWOX17bic/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,Bn37usqFFsI,https://www.youtube.com/watch?v=Bn37usqFFsI,Kris and Kylie Go Live to Celebrate the Launch of the Kris Collection,69,"Join Kylie and Kris as they make martinis, answer your questions and show off the new Kris Collection by Kylie Cosmetics.",2022-09-14T17:15:03Z,1421,PT20M26S,1226,1768190,,1749,https://i.ytimg.com/vi/Bn37usqFFsI/hqdefault.jpg
UCWkYXtnAuu7VTLPwUcRSB6A,Kylie Jenner,12000000,https://yt3.ggpht.com/eWYvBamPUiKhT2DkBfG7P4y08ZypcqHgJJYe5RH8frov3N7Nljkq_DqWAIhpCgLNOU9lH9lACTU=s88-c-k-c0x00ffffff-no-rj,J-iSn6yqoSc,https://www.youtube.com/watch?v=J-iSn6yqoSc,Trailer: The Launch of the Kris Collection,42,,2022-09-14T16:35:31Z,1421,PT15S,15,474715,,367,https://i.ytimg.com/vi/J-iSn6yqoSc/hqdefault.jpg
